scenario,model,features_removed,num_features,accuracy,precision,recall,f1_score,roc_auc
Baseline (All Features),random_forest,None,8,0.8452380952380952,0.6666666666666666,0.7,0.6829268292682926,0.93359375
Baseline (All Features),xgboost,None,8,0.8690476190476191,0.6956521739130435,0.8,0.7441860465116279,0.93046875
Baseline (All Features),logistic_regression,None,8,0.8928571428571429,0.7619047619047619,0.8,0.7804878048780488,0.94296875
Without MMSE,random_forest,MMSE,7,0.8095238095238095,0.5909090909090909,0.65,0.6190476190476191,0.884375
Without MMSE,xgboost,MMSE,7,0.7976190476190477,0.56,0.7,0.6222222222222222,0.89140625
Without MMSE,logistic_regression,MMSE,7,0.8214285714285714,0.631578947368421,0.6,0.6153846153846154,0.8921875
Without Global Brain Metrics,random_forest,"nWBV, eTIV, ASF",5,0.8214285714285714,0.6086956521739131,0.7,0.6511627906976744,0.928125
Without Global Brain Metrics,xgboost,"nWBV, eTIV, ASF",5,0.8214285714285714,0.6,0.75,0.6666666666666665,0.9109375
Without Global Brain Metrics,logistic_regression,"nWBV, eTIV, ASF",5,0.8452380952380952,0.6666666666666666,0.7,0.6829268292682926,0.93359375
Without MMSE + Global,random_forest,"MMSE, nWBV, eTIV, ASF",4,0.7738095238095238,0.52,0.65,0.5777777777777778,0.863671875
Without MMSE + Global,xgboost,"MMSE, nWBV, eTIV, ASF",4,0.7976190476190477,0.5714285714285714,0.6,0.5853658536585366,0.873046875
Without MMSE + Global,logistic_regression,"MMSE, nWBV, eTIV, ASF",4,0.7261904761904762,0.4117647058823529,0.35,0.37837837837837834,0.831640625
Only Demographics,random_forest,"MMSE, eTIV, nWBV, ASF",4,0.7738095238095238,0.52,0.65,0.5777777777777778,0.863671875
Only Demographics,xgboost,"MMSE, eTIV, nWBV, ASF",4,0.7976190476190477,0.5714285714285714,0.6,0.5853658536585366,0.873046875
Only Demographics,logistic_regression,"MMSE, eTIV, nWBV, ASF",4,0.7261904761904762,0.4117647058823529,0.35,0.37837837837837834,0.831640625
Only MMSE,random_forest,"M/F, Age, Educ, SES, eTIV, nWBV, ASF",1,0.8690476190476191,0.7368421052631579,0.7,0.717948717948718,0.9140625
Only MMSE,xgboost,"M/F, Age, Educ, SES, eTIV, nWBV, ASF",1,0.8690476190476191,0.7368421052631579,0.7,0.717948717948718,0.9109375
Only MMSE,logistic_regression,"M/F, Age, Educ, SES, eTIV, nWBV, ASF",1,0.8690476190476191,0.8,0.6,0.6857142857142857,0.8945312499999999
Only Global Brain,random_forest,"M/F, Age, Educ, SES, MMSE",3,0.8214285714285714,0.6,0.75,0.6666666666666665,0.882421875
Only Global Brain,xgboost,"M/F, Age, Educ, SES, MMSE",3,0.7857142857142857,0.5454545454545454,0.6,0.5714285714285713,0.8871093750000001
Only Global Brain,logistic_regression,"M/F, Age, Educ, SES, MMSE",3,0.8333333333333334,0.6666666666666666,0.6,0.631578947368421,0.89765625
